http://dublincore.org/documents/dces/,http://purl.org/dc/elements/1.1/contributor,Contributor,An entity responsible for making contributions to the resource.
http://dublincore.org/documents/dces/,http://purl.org/dc/elements/1.1/coverage,Coverage,"The spatial or temporal topic of the resource, the spatial applicability of the resource, or the jurisdiction under which the resource is relevant."
http://dublincore.org/documents/dces/,http://purl.org/dc/elements/1.1/creator,Creator,An entity primarily responsible for making the resource.
http://dublincore.org/documents/dces/,http://purl.org/dc/elements/1.1/date,Date,A point or period of time associated with an event in the lifecycle of the resource.
http://dublincore.org/documents/dces/,http://purl.org/dc/elements/1.1/description,Description,An account of the resource.
http://dublincore.org/documents/dces/,http://purl.org/dc/elements/1.1/format,Format,"The file format, physical medium, or dimensions of the resource."
http://dublincore.org/documents/dces/,http://purl.org/dc/elements/1.1/identifier,Identifier,An unambiguous reference to the resource within a given context.
http://dublincore.org/documents/dces/,http://purl.org/dc/elements/1.1/language,Language,A language of the resource.
http://dublincore.org/documents/dces/,http://purl.org/dc/elements/1.1/publisher,Publisher,An entity responsible for making the resource available.
http://dublincore.org/documents/dces/,http://purl.org/dc/elements/1.1/relation,Relation,A related resource.
http://dublincore.org/documents/dces/,http://purl.org/dc/elements/1.1/rights,Rights,Information about rights held in and over the resource.
http://dublincore.org/documents/dces/,http://purl.org/dc/elements/1.1/source,Source,A related resource from which the described resource is derived.
http://dublincore.org/documents/dces/,http://purl.org/dc/elements/1.1/subject,Subject,The topic of the resource.
http://dublincore.org/documents/dces/,http://purl.org/dc/elements/1.1/title,Title,A name given to the resource.
http://dublincore.org/documents/dces/,http://purl.org/dc/elements/1.1/type,Type,The nature or genre of the resource.
